card1,card2,card3,theme,oracle,meaning
The Ear,The Moon,The Eye of Horus,,,
The Ear,The Moon,The Goat,,,
The Ear,The Moon,The Harpy,,,
The Ear,The Sun,The Well,,,
The Ear,The Sun,The Mountain,,,
The Ear,The Sun,Atlas,,,
The Ear,The Sun,The Hawk,,,
The Ear,The Sun,The Storm,,,
The Ear,The Sun,The Vulture,,,
The Ear,The Sun,The Eye of Horus,,,
The Ear,The Sun,The Goat,,,
The Ear,The Sun,The Harpy,,,
The Ear,The Well,The Mountain,,,
The Ear,The Well,Atlas,,,
The Ear,The Well,The Hawk,,,
The Ear,The Well,The Storm,,,
The Ear,The Well,The Vulture,,,
The Ear,The Well,The Eye of Horus,,,
The Ear,The Well,The Goat,,,
The Ear,The Well,The Harpy,,,
The Ear,The Mountain,Atlas,,,
The Ear,The Mountain,The Hawk,,,
The Ear,The Mountain,The Storm,,,
The Ear,The Mountain,The Vulture,,,
The Ear,The Mountain,The Eye of Horus,,,
The Ear,The Mountain,The Goat,,,
The Ear,The Mountain,The Harpy,,,
The Ear,Atlas,The Hawk,,,
The Ear,Atlas,The Storm,,,
The Ear,Atlas,The Vulture,,,
The Ear,Atlas,The Eye of Horus,,,
The Ear,Atlas,The Goat,,,
The Ear,Atlas,The Harpy,,,
The Ear,The Hawk,The Storm,,,
The Ear,The Hawk,The Vulture,,,
The Ear,The Hawk,The Eye of Horus,,,
The Ear,The Hawk,The Goat,,,
The Ear,The Hawk,The Harpy,,,
The Ear,The Storm,The Vulture,,,
The Ear,The Storm,The Eye of Horus,,,
The Ear,The Storm,The Goat,,,
The Ear,The Storm,The Harpy,,,
The Ear,The Vulture,The Eye of Horus,,,
The Ear,The Vulture,The Goat,,,
The Ear,The Vulture,The Harpy,,,
The Ear,The Eye of Horus,The Goat,,,
The Ear,The Eye of Horus,The Harpy,,,
The Ear,The Goat,The Harpy,,,
The Inner Eye,The Shattered Shell,The Hearthstone,,,
The Inner Eye,The Shattered Shell,The Selkie,,,
The Inner Eye,The Shattered Shell,The Heart,,,
The Inner Eye,The Shattered Shell,The Satyr,,,
The Inner Eye,The Shattered Shell,The Cave,,,
The Inner Eye,The Shattered Shell,The Bone Skull,,,
The Inner Eye,The Shattered Shell,The Wheel,,,
The Inner Eye,The Shattered Shell,The Mirror,,,
The Inner Eye,The Shattered Shell,The Bat,,,
The Inner Eye,The Shattered Shell,The Thorn,,,
The Inner Eye,The Shattered Shell,The Angel,,,
The Inner Eye,The Shattered Shell,The Torch,,,
The Inner Eye,The Shattered Shell,The Lightning,,,
The Inner Eye,The Shattered Shell,The Starling,,,
The Inner Eye,The Shattered Shell,The Moon,,,
The Inner Eye,The Shattered Shell,The Sun,,,
The Inner Eye,The Shattered Shell,The Well,,,
The Inner Eye,The Shattered Shell,The Mountain,,,
The Inner Eye,The Shattered Shell,Atlas,,,
The Inner Eye,The Shattered Shell,The Hawk,,,
The Inner Eye,The Shattered Shell,The Storm,,,
The Inner Eye,The Shattered Shell,The Vulture,,,
The Inner Eye,The Shattered Shell,The Eye of Horus,,,
The Inner Eye,The Shattered Shell,The Goat,,,
The Inner Eye,The Shattered Shell,The Harpy,,,
The Inner Eye,The Hearthstone,The Selkie,,,
The Inner Eye,The Hearthstone,The Heart,,,
The Inner Eye,The Hearthstone,The Satyr,,,
The Inner Eye,The Hearthstone,The Cave,,,
The Inner Eye,The Hearthstone,The Bone Skull,,,
The Inner Eye,The Hearthstone,The Wheel,,,
The Inner Eye,The Hearthstone,The Mirror,,,
The Inner Eye,The Hearthstone,The Bat,,,
The Inner Eye,The Hearthstone,The Thorn,,,
The Inner Eye,The Hearthstone,The Angel,,,
The Inner Eye,The Hearthstone,The Torch,,,
The Inner Eye,The Hearthstone,The Lightning,,,
The Inner Eye,The Hearthstone,The Starling,,,
The Inner Eye,The Hearthstone,The Moon,,,
The Inner Eye,The Hearthstone,The Sun,,,
The Inner Eye,The Hearthstone,The Well,,,
The Inner Eye,The Hearthstone,The Mountain,,,
The Inner Eye,The Hearthstone,Atlas,,,
The Inner Eye,The Hearthstone,The Hawk,,,
The Inner Eye,The Hearthstone,The Storm,,,
The Inner Eye,The Hearthstone,The Vulture,,,
The Inner Eye,The Hearthstone,The Eye of Horus,,,
The Inner Eye,The Hearthstone,The Goat,,,
The Inner Eye,The Hearthstone,The Harpy,,,
The Inner Eye,The Selkie,The Heart,,,
The Inner Eye,The Selkie,The Satyr,,,
The Inner Eye,The Selkie,The Cave,,,
The Inner Eye,The Selkie,The Bone Skull,,,
The Inner Eye,The Selkie,The Wheel,,,
The Inner Eye,The Selkie,The Mirror,,,
The Inner Eye,The Selkie,The Bat,,,
The Inner Eye,The Selkie,The Thorn,,,
The Inner Eye,The Selkie,The Angel,,,
The Inner Eye,The Selkie,The Torch,,,
The Inner Eye,The Selkie,The Lightning,,,
The Inner Eye,The Selkie,The Starling,,,
The Inner Eye,The Selkie,The Moon,,,
The Inner Eye,The Selkie,The Sun,,,
The Inner Eye,The Selkie,The Well,,,
The Inner Eye,The Selkie,The Mountain,,,
The Inner Eye,The Selkie,Atlas,,,
The Inner Eye,The Selkie,The Hawk,,,
The Inner Eye,The Selkie,The Storm,,,
The Inner Eye,The Selkie,The Vulture,,,
The Inner Eye,The Selkie,The Eye of Horus,,,
The Inner Eye,The Selkie,The Goat,,,
The Inner Eye,The Selkie,The Harpy,,,
The Inner Eye,The Heart,The Satyr,,,
The Inner Eye,The Heart,The Cave,,,
The Inner Eye,The Heart,The Bone Skull,,,
The Inner Eye,The Heart,The Wheel,,,
The Inner Eye,The Heart,The Mirror,,,
The Inner Eye,The Heart,The Bat,,,
The Inner Eye,The Heart,The Thorn,,,
The Inner Eye,The Heart,The Angel,,,
The Inner Eye,The Heart,The Torch,,,
The Inner Eye,The Heart,The Lightning,,,
The Inner Eye,The Heart,The Starling,,,
The Inner Eye,The Heart,The Moon,,,
The Inner Eye,The Heart,The Sun,,,
The Inner Eye,The Heart,The Well,,,
The Inner Eye,The Heart,The Mountain,,,
The Inner Eye,The Heart,Atlas,,,
The Inner Eye,The Heart,The Hawk,,,
The Inner Eye,The Heart,The Storm,,,
The Inner Eye,The Heart,The Vulture,,,
The Inner Eye,The Heart,The Eye of Horus,,,
The Inner Eye,The Heart,The Goat,,,
The Inner Eye,The Heart,The Harpy,,,
The Inner Eye,The Satyr,The Cave,,,
The Inner Eye,The Satyr,The Bone Skull,,,
The Inner Eye,The Satyr,The Wheel,,,
The Inner Eye,The Satyr,The Mirror,,,
The Inner Eye,The Satyr,The Bat,,,
The Inner Eye,The Satyr,The Thorn,,,
The Inner Eye,The Satyr,The Angel,,,
The Inner Eye,The Satyr,The Torch,,,
The Inner Eye,The Satyr,The Lightning,,,
The Inner Eye,The Satyr,The Starling,,,
The Inner Eye,The Satyr,The Moon,,,
The Inner Eye,The Satyr,The Sun,,,
The Inner Eye,The Satyr,The Well,,,
The Inner Eye,The Satyr,The Mountain,,,
The Inner Eye,The Satyr,Atlas,,,
The Inner Eye,The Satyr,The Hawk,,,
The Inner Eye,The Satyr,The Storm,,,
The Inner Eye,The Satyr,The Vulture,,,
The Inner Eye,The Satyr,The Eye of Horus,,,
The Inner Eye,The Satyr,The Goat,,,
The Inner Eye,The Satyr,The Harpy,,,
The Inner Eye,The Cave,The Bone Skull,,,
The Inner Eye,The Cave,The Wheel,,,
The Inner Eye,The Cave,The Mirror,,,
The Inner Eye,The Cave,The Bat,,,
The Inner Eye,The Cave,The Thorn,,,
The Inner Eye,The Cave,The Angel,,,
The Inner Eye,The Cave,The Torch,,,
The Inner Eye,The Cave,The Lightning,,,
The Inner Eye,The Cave,The Starling,,,
The Inner Eye,The Cave,The Moon,,,
The Inner Eye,The Cave,The Sun,,,
The Inner Eye,The Cave,The Well,,,
The Inner Eye,The Cave,The Mountain,,,
The Inner Eye,The Cave,Atlas,,,
The Inner Eye,The Cave,The Hawk,,,
The Inner Eye,The Cave,The Storm,,,
The Inner Eye,The Cave,The Vulture,,,
The Inner Eye,The Cave,The Eye of Horus,,,
The Inner Eye,The Cave,The Goat,,,
The Inner Eye,The Cave,The Harpy,,,
The Inner Eye,The Bone Skull,The Wheel,,,
The Inner Eye,The Bone Skull,The Mirror,,,
The Inner Eye,The Bone Skull,The Bat,,,
The Inner Eye,The Bone Skull,The Thorn,,,
The Inner Eye,The Bone Skull,The Angel,,,
The Inner Eye,The Bone Skull,The Torch,,,
The Inner Eye,The Bone Skull,The Lightning,,,
The Inner Eye,The Bone Skull,The Starling,,,
The Inner Eye,The Bone Skull,The Moon,,,
The Inner Eye,The Bone Skull,The Sun,,,
The Inner Eye,The Bone Skull,The Well,,,
The Inner Eye,The Bone Skull,The Mountain,,,
The Inner Eye,The Bone Skull,Atlas,,,
The Inner Eye,The Bone Skull,The Hawk,,,
The Inner Eye,The Bone Skull,The Storm,,,
The Inner Eye,The Bone Skull,The Vulture,,,
The Inner Eye,The Bone Skull,The Eye of Horus,,,
The Inner Eye,The Bone Skull,The Goat,,,
The Inner Eye,The Bone Skull,The Harpy,,,
The Inner Eye,The Wheel,The Mirror,,,
The Inner Eye,The Wheel,The Bat,,,
The Inner Eye,The Wheel,The Thorn,,,
The Inner Eye,The Wheel,The Angel,,,
The Inner Eye,The Wheel,The Torch,,,
The Inner Eye,The Wheel,The Lightning,,,
The Inner Eye,The Wheel,The Starling,,,
The Inner Eye,The Wheel,The Moon,,,
The Inner Eye,The Wheel,The Sun,,,
The Inner Eye,The Wheel,The Well,,,
The Inner Eye,The Wheel,The Mountain,,,
The Inner Eye,The Wheel,Atlas,,,
The Inner Eye,The Wheel,The Hawk,,,
The Inner Eye,The Wheel,The Storm,,,
The Inner Eye,The Wheel,The Vulture,,,
The Inner Eye,The Wheel,The Eye of Horus,,,
The Inner Eye,The Wheel,The Goat,,,
The Inner Eye,The Wheel,The Harpy,,,
The Inner Eye,The Mirror,The Bat,,,
The Inner Eye,The Mirror,The Thorn,,,
The Inner Eye,The Mirror,The Angel,,,
The Inner Eye,The Mirror,The Torch,,,
The Inner Eye,The Mirror,The Lightning,,,
The Inner Eye,The Mirror,The Starling,,,
The Inner Eye,The Mirror,The Moon,,,
The Inner Eye,The Mirror,The Sun,,,
The Inner Eye,The Mirror,The Well,,,
The Inner Eye,The Mirror,The Mountain,,,
The Inner Eye,The Mirror,Atlas,,,
The Inner Eye,The Mirror,The Hawk,,,
The Inner Eye,The Mirror,The Storm,,,
The Inner Eye,The Mirror,The Vulture,,,
The Inner Eye,The Mirror,The Eye of Horus,,,
The Inner Eye,The Mirror,The Goat,,,
The Inner Eye,The Mirror,The Harpy,,,
The Inner Eye,The Bat,The Thorn,,,
The Inner Eye,The Bat,The Angel,,,
The Inner Eye,The Bat,The Torch,,,
The Inner Eye,The Bat,The Lightning,,,
The Inner Eye,The Bat,The Starling,,,
The Inner Eye,The Bat,The Moon,,,
The Inner Eye,The Bat,The Sun,,,
The Inner Eye,The Bat,The Well,,,
The Inner Eye,The Bat,The Mountain,,,
The Inner Eye,The Bat,Atlas,,,
The Inner Eye,The Bat,The Hawk,,,
The Inner Eye,The Bat,The Storm,,,
The Inner Eye,The Bat,The Vulture,,,
The Inner Eye,The Bat,The Eye of Horus,,,
The Inner Eye,The Bat,The Goat,,,
The Inner Eye,The Bat,The Harpy,,,
The Inner Eye,The Thorn,The Angel,,,
The Inner Eye,The Thorn,The Torch,,,
The Inner Eye,The Thorn,The Lightning,,,
The Inner Eye,The Thorn,The Starling,,,
The Inner Eye,The Thorn,The Moon,,,
The Inner Eye,The Thorn,The Sun,,,
The Inner Eye,The Thorn,The Well,,,
The Inner Eye,The Thorn,The Mountain,,,
The Inner Eye,The Thorn,Atlas,,,
The Inner Eye,The Thorn,The Hawk,,,
The Inner Eye,The Thorn,The Storm,,,
The Inner Eye,The Thorn,The Vulture,,,
The Inner Eye,The Thorn,The Eye of Horus,,,
The Inner Eye,The Thorn,The Goat,,,
The Inner Eye,The Thorn,The Harpy,,,
The Inner Eye,The Angel,The Torch,,,
The Inner Eye,The Angel,The Lightning,,,
The Inner Eye,The Angel,The Starling,,,
The Inner Eye,The Angel,The Moon,,,
The Inner Eye,The Angel,The Sun,,,
The Inner Eye,The Angel,The Well,,,
The Inner Eye,The Angel,The Mountain,,,
The Inner Eye,The Angel,Atlas,,,
The Inner Eye,The Angel,The Hawk,,,
The Inner Eye,The Angel,The Storm,,,
The Inner Eye,The Angel,The Vulture,,,
The Inner Eye,The Angel,The Eye of Horus,,,
The Inner Eye,The Angel,The Goat,,,
The Inner Eye,The Angel,The Harpy,,,
The Inner Eye,The Torch,The Lightning,,,
The Inner Eye,The Torch,The Starling,,,
The Inner Eye,The Torch,The Moon,,,
The Inner Eye,The Torch,The Sun,,,
The Inner Eye,The Torch,The Well,,,
The Inner Eye,The Torch,The Mountain,,,
The Inner Eye,The Torch,Atlas,,,
The Inner Eye,The Torch,The Hawk,,,
The Inner Eye,The Torch,The Storm,,,
The Inner Eye,The Torch,The Vulture,,,
The Inner Eye,The Torch,The Eye of Horus,,,
The Inner Eye,The Torch,The Goat,,,
The Inner Eye,The Torch,The Harpy,,,
The Inner Eye,The Lightning,The Starling,,,
The Inner Eye,The Lightning,The Moon,,,
The Inner Eye,The Lightning,The Sun,,,
The Inner Eye,The Lightning,The Well,,,
The Inner Eye,The Lightning,The Mountain,,,
The Inner Eye,The Lightning,Atlas,,,
The Inner Eye,The Lightning,The Hawk,,,
The Inner Eye,The Lightning,The Storm,,,
The Inner Eye,The Lightning,The Vulture,,,
The Inner Eye,The Lightning,The Eye of Horus,,,
The Inner Eye,The Lightning,The Goat,,,
The Inner Eye,The Lightning,The Harpy,,,
The Inner Eye,The Starling,The Moon,,,
The Inner Eye,The Starling,The Sun,,,
The Inner Eye,The Starling,The Well,,,
The Inner Eye,The Starling,The Mountain,,,
The Inner Eye,The Starling,Atlas,,,
The Inner Eye,The Starling,The Hawk,,,
The Inner Eye,The Starling,The Storm,,,
The Inner Eye,The Starling,The Vulture,,,
The Inner Eye,The Starling,The Eye of Horus,,,
The Inner Eye,The Starling,The Goat,,,
The Inner Eye,The Starling,The Harpy,,,
The Inner Eye,The Moon,The Sun,,,
The Inner Eye,The Moon,The Well,,,
The Inner Eye,The Moon,The Mountain,,,
The Inner Eye,The Moon,Atlas,,,
The Inner Eye,The Moon,The Hawk,,,
The Inner Eye,The Moon,The Storm,,,
The Inner Eye,The Moon,The Vulture,,,
The Inner Eye,The Moon,The Eye of Horus,,,
The Inner Eye,The Moon,The Goat,,,
The Inner Eye,The Moon,The Harpy,,,
The Inner Eye,The Sun,The Well,,,
The Inner Eye,The Sun,The Mountain,,,
The Inner Eye,The Sun,Atlas,,,
The Inner Eye,The Sun,The Hawk,,,
The Inner Eye,The Sun,The Storm,,,
The Inner Eye,The Sun,The Vulture,,,
The Inner Eye,The Sun,The Eye of Horus,,,
The Inner Eye,The Sun,The Goat,,,
The Inner Eye,The Sun,The Harpy,,,
The Inner Eye,The Well,The Mountain,,,
The Inner Eye,The Well,Atlas,,,
The Inner Eye,The Well,The Hawk,,,
The Inner Eye,The Well,The Storm,,,
The Inner Eye,The Well,The Vulture,,,
The Inner Eye,The Well,The Eye of Horus,,,
The Inner Eye,The Well,The Goat,,,
The Inner Eye,The Well,The Harpy,,,
The Inner Eye,The Mountain,Atlas,,,
The Inner Eye,The Mountain,The Hawk,,,
The Inner Eye,The Mountain,The Storm,,,
The Inner Eye,The Mountain,The Vulture,,,
The Inner Eye,The Mountain,The Eye of Horus,,,
The Inner Eye,The Mountain,The Goat,,,
The Inner Eye,The Mountain,The Harpy,,,
The Inner Eye,Atlas,The Hawk,,,
The Inner Eye,Atlas,The Storm,,,
The Inner Eye,Atlas,The Vulture,,,
The Inner Eye,Atlas,The Eye of Horus,,,
The Inner Eye,Atlas,The Goat,,,
The Inner Eye,Atlas,The Harpy,,,
The Inner Eye,The Hawk,The Storm,,,
The Inner Eye,The Hawk,The Vulture,,,
The Inner Eye,The Hawk,The Eye of Horus,,,
The Inner Eye,The Hawk,The Goat,,,
The Inner Eye,The Hawk,The Harpy,,,
The Inner Eye,The Storm,The Vulture,,,
The Inner Eye,The Storm,The Eye of Horus,,,
The Inner Eye,The Storm,The Goat,,,
The Inner Eye,The Storm,The Harpy,,,
The Inner Eye,The Vulture,The Eye of Horus,,,
The Inner Eye,The Vulture,The Goat,,,
The Inner Eye,The Vulture,The Harpy,,,
The Inner Eye,The Eye of Horus,The Goat,,,
The Inner Eye,The Eye of Horus,The Harpy,,,
The Inner Eye,The Goat,The Harpy,,,
The Shattered Shell,The Hearthstone,The Selkie,,,
The Shattered Shell,The Hearthstone,The Heart,,,
The Shattered Shell,The Hearthstone,The Satyr,,,
The Shattered Shell,The Hearthstone,The Cave,,,
The Shattered Shell,The Hearthstone,The Bone Skull,,,
The Shattered Shell,The Hearthstone,The Wheel,,,
The Shattered Shell,The Hearthstone,The Mirror,,,
The Shattered Shell,The Hearthstone,The Bat,,,
The Shattered Shell,The Hearthstone,The Thorn,,,
The Shattered Shell,The Hearthstone,The Angel,,,
The Shattered Shell,The Hearthstone,The Torch,,,
The Shattered Shell,The Hearthstone,The Lightning,,,
The Shattered Shell,The Hearthstone,The Starling,,,
The Shattered Shell,The Hearthstone,The Moon,,,
The Shattered Shell,The Hearthstone,The Sun,,,
The Shattered Shell,The Hearthstone,The Well,,,
The Shattered Shell,The Hearthstone,The Mountain,,,
The Shattered Shell,The Hearthstone,Atlas,,,
The Shattered Shell,The Hearthstone,The Hawk,,,
The Shattered Shell,The Hearthstone,The Storm,,,
The Shattered Shell,The Hearthstone,The Vulture,,,
The Shattered Shell,The Hearthstone,The Eye of Horus,,,
The Shattered Shell,The Hearthstone,The Goat,,,
The Shattered Shell,The Hearthstone,The Harpy,,,
The Shattered Shell,The Selkie,The Heart,,,
The Shattered Shell,The Selkie,The Satyr,,,
The Shattered Shell,The Selkie,The Cave,,,
The Shattered Shell,The Selkie,The Bone Skull,,,
The Shattered Shell,The Selkie,The Wheel,,,
The Shattered Shell,The Selkie,The Mirror,,,
The Shattered Shell,The Selkie,The Bat,,,
The Shattered Shell,The Selkie,The Thorn,,,
The Shattered Shell,The Selkie,The Angel,,,
The Shattered Shell,The Selkie,The Torch,,,
The Shattered Shell,The Selkie,The Lightning,,,
The Shattered Shell,The Selkie,The Starling,,,
The Shattered Shell,The Selkie,The Moon,,,
The Shattered Shell,The Selkie,The Sun,,,
The Shattered Shell,The Selkie,The Well,,,
The Shattered Shell,The Selkie,The Mountain,,,
The Shattered Shell,The Selkie,Atlas,,,
The Shattered Shell,The Selkie,The Hawk,,,
The Shattered Shell,The Selkie,The Storm,,,
The Shattered Shell,The Selkie,The Vulture,,,
The Shattered Shell,The Selkie,The Eye of Horus,,,
The Shattered Shell,The Selkie,The Goat,,,
The Shattered Shell,The Selkie,The Harpy,,,
The Shattered Shell,The Heart,The Satyr,,,
The Shattered Shell,The Heart,The Cave,,,
The Shattered Shell,The Heart,The Bone Skull,,,
The Shattered Shell,The Heart,The Wheel,,,
The Shattered Shell,The Heart,The Mirror,,,
The Shattered Shell,The Heart,The Bat,,,
The Shattered Shell,The Heart,The Thorn,,,
The Shattered Shell,The Heart,The Angel,,,
The Shattered Shell,The Heart,The Torch,,,
The Shattered Shell,The Heart,The Lightning,,,
The Shattered Shell,The Heart,The Starling,,,
The Shattered Shell,The Heart,The Moon,,,
The Shattered Shell,The Heart,The Sun,,,
The Shattered Shell,The Heart,The Well,,,
The Shattered Shell,The Heart,The Mountain,,,
The Shattered Shell,The Heart,Atlas,,,
The Shattered Shell,The Heart,The Hawk,,,
The Shattered Shell,The Heart,The Storm,,,
The Shattered Shell,The Heart,The Vulture,,,
The Shattered Shell,The Heart,The Eye of Horus,,,
The Shattered Shell,The Heart,The Goat,,,
The Shattered Shell,The Heart,The Harpy,,,
The Shattered Shell,The Satyr,The Cave,,,
The Shattered Shell,The Satyr,The Bone Skull,,,
The Shattered Shell,The Satyr,The Wheel,,,
The Shattered Shell,The Satyr,The Mirror,,,
The Shattered Shell,The Satyr,The Bat,,,
The Shattered Shell,The Satyr,The Thorn,,,
The Shattered Shell,The Satyr,The Angel,,,
The Shattered Shell,The Satyr,The Torch,,,
The Shattered Shell,The Satyr,The Lightning,,,
The Shattered Shell,The Satyr,The Starling,,,
The Shattered Shell,The Satyr,The Moon,,,
The Shattered Shell,The Satyr,The Sun,,,
The Shattered Shell,The Satyr,The Well,,,
The Shattered Shell,The Satyr,The Mountain,,,
The Shattered Shell,The Satyr,Atlas,,,
The Shattered Shell,The Satyr,The Hawk,,,
The Shattered Shell,The Satyr,The Storm,,,
The Shattered Shell,The Satyr,The Vulture,,,
The Shattered Shell,The Satyr,The Eye of Horus,,,
The Shattered Shell,The Satyr,The Goat,,,
The Shattered Shell,The Satyr,The Harpy,,,
The Shattered Shell,The Cave,The Bone Skull,,,
The Shattered Shell,The Cave,The Wheel,,,
The Shattered Shell,The Cave,The Mirror,,,
The Shattered Shell,The Cave,The Bat,,,
The Shattered Shell,The Cave,The Thorn,,,
The Shattered Shell,The Cave,The Angel,,,
The Shattered Shell,The Cave,The Torch,,,
The Shattered Shell,The Cave,The Lightning,,,
The Shattered Shell,The Cave,The Starling,,,
The Shattered Shell,The Cave,The Moon,,,
The Shattered Shell,The Cave,The Sun,,,
The Shattered Shell,The Cave,The Well,,,
The Shattered Shell,The Cave,The Mountain,,,
The Shattered Shell,The Cave,Atlas,,,
The Shattered Shell,The Cave,The Hawk,,,
The Shattered Shell,The Cave,The Storm,,,
The Shattered Shell,The Cave,The Vulture,,,
The Shattered Shell,The Cave,The Eye of Horus,,,
The Shattered Shell,The Cave,The Goat,,,
The Shattered Shell,The Cave,The Harpy,,,
The Shattered Shell,The Bone Skull,The Wheel,,,
The Shattered Shell,The Bone Skull,The Mirror,,,
The Shattered Shell,The Bone Skull,The Bat,,,
The Shattered Shell,The Bone Skull,The Thorn,,,
The Shattered Shell,The Bone Skull,The Angel,,,
The Shattered Shell,The Bone Skull,The Torch,,,
The Shattered Shell,The Bone Skull,The Lightning,,,
The Shattered Shell,The Bone Skull,The Starling,,,
The Shattered Shell,The Bone Skull,The Moon,,,
The Shattered Shell,The Bone Skull,The Sun,,,
The Shattered Shell,The Bone Skull,The Well,,,
The Shattered Shell,The Bone Skull,The Mountain,,,
The Shattered Shell,The Bone Skull,Atlas,,,
The Shattered Shell,The Bone Skull,The Hawk,,,
The Shattered Shell,The Bone Skull,The Storm,,,
The Shattered Shell,The Bone Skull,The Vulture,,,
The Shattered Shell,The Bone Skull,The Eye of Horus,,,
The Shattered Shell,The Bone Skull,The Goat,,,
The Shattered Shell,The Bone Skull,The Harpy,,,
The Shattered Shell,The Wheel,The Mirror,,,
The Shattered Shell,The Wheel,The Bat,,,
The Shattered Shell,The Wheel,The Thorn,,,
The Shattered Shell,The Wheel,The Angel,,,
The Shattered Shell,The Wheel,The Torch,,,
The Shattered Shell,The Wheel,The Lightning,,,
The Shattered Shell,The Wheel,The Starling,,,
The Shattered Shell,The Wheel,The Moon,,,
The Shattered Shell,The Wheel,The Sun,,,
The Shattered Shell,The Wheel,The Well,,,
The Shattered Shell,The Wheel,The Mountain,,,
The Shattered Shell,The Wheel,Atlas,,,
The Shattered Shell,The Wheel,The Hawk,,,
The Shattered Shell,The Wheel,The Storm,,,
The Shattered Shell,The Wheel,The Vulture,,,
The Shattered Shell,The Wheel,The Eye of Horus,,,
The Shattered Shell,The Wheel,The Goat,,,
The Shattered Shell,The Wheel,The Harpy,,,
The Shattered Shell,The Mirror,The Bat,,,
The Shattered Shell,The Mirror,The Thorn,,,
The Shattered Shell,The Mirror,The Angel,,,
The Shattered Shell,The Mirror,The Torch,,,
The Shattered Shell,The Mirror,The Lightning,,,
The Shattered Shell,The Mirror,The Starling,,,
The Shattered Shell,The Mirror,The Moon,,,
The Shattered Shell,The Mirror,The Sun,,,
The Shattered Shell,The Mirror,The Well,,,
The Shattered Shell,The Mirror,The Mountain,,,
The Shattered Shell,The Mirror,Atlas,,,
The Shattered Shell,The Mirror,The Hawk,,,
The Shattered Shell,The Mirror,The Storm,,,
The Shattered Shell,The Mirror,The Vulture,,,
The Shattered Shell,The Mirror,The Eye of Horus,,,
The Shattered Shell,The Mirror,The Goat,,,
The Shattered Shell,The Mirror,The Harpy,,,
The Shattered Shell,The Bat,The Thorn,,,
The Shattered Shell,The Bat,The Angel,,,
The Shattered Shell,The Bat,The Torch,,,
The Shattered Shell,The Bat,The Lightning,,,
The Shattered Shell,The Bat,The Starling,,,
The Shattered Shell,The Bat,The Moon,,,
The Shattered Shell,The Bat,The Sun,,,
The Shattered Shell,The Bat,The Well,,,
The Shattered Shell,The Bat,The Mountain,,,
The Shattered Shell,The Bat,Atlas,,,
The Shattered Shell,The Bat,The Hawk,,,
The Shattered Shell,The Bat,The Storm,,,
The Shattered Shell,The Bat,The Vulture,,,
The Shattered Shell,The Bat,The Eye of Horus,,,
The Shattered Shell,The Bat,The Goat,,,
The Shattered Shell,The Bat,The Harpy,,,
The Shattered Shell,The Thorn,The Angel,,,
The Shattered Shell,The Thorn,The Torch,,,
The Shattered Shell,The Thorn,The Lightning,,,
The Shattered Shell,The Thorn,The Starling,,,
The Shattered Shell,The Thorn,The Moon,,,
The Shattered Shell,The Thorn,The Sun,,,
The Shattered Shell,The Thorn,The Well,,,
The Shattered Shell,The Thorn,The Mountain,,,
The Shattered Shell,The Thorn,Atlas,,,
The Shattered Shell,The Thorn,The Hawk,,,
The Shattered Shell,The Thorn,The Storm,,,
The Shattered Shell,The Thorn,The Vulture,,,
The Shattered Shell,The Thorn,The Eye of Horus,,,
The Shattered Shell,The Thorn,The Goat,,,
The Shattered Shell,The Thorn,The Harpy,,,
The Shattered Shell,The Angel,The Torch,,,
The Shattered Shell,The Angel,The Lightning,,,
The Shattered Shell,The Angel,The Starling,,,
The Shattered Shell,The Angel,The Moon,,,
The Shattered Shell,The Angel,The Sun,,,
The Shattered Shell,The Angel,The Well,,,
The Shattered Shell,The Angel,The Mountain,,,
The Shattered Shell,The Angel,Atlas,,,
The Shattered Shell,The Angel,The Hawk,,,
The Shattered Shell,The Angel,The Storm,,,
The Shattered Shell,The Angel,The Vulture,,,
The Shattered Shell,The Angel,The Eye of Horus,,,
The Shattered Shell,The Angel,The Goat,,,
The Shattered Shell,The Angel,The Harpy,,,
The Shattered Shell,The Torch,The Lightning,,,
The Shattered Shell,The Torch,The Starling,,,
The Shattered Shell,The Torch,The Moon,,,
The Shattered Shell,The Torch,The Sun,,,
The Shattered Shell,The Torch,The Well,,,
The Shattered Shell,The Torch,The Mountain,,,
The Shattered Shell,The Torch,Atlas,,,
The Shattered Shell,The Torch,The Hawk,,,
The Shattered Shell,The Torch,The Storm,,,
The Shattered Shell,The Torch,The Vulture,,,
The Shattered Shell,The Torch,The Eye of Horus,,,
The Shattered Shell,The Torch,The Goat,,,
The Shattered Shell,The Torch,The Harpy,,,
The Shattered Shell,The Lightning,The Starling,,,
The Shattered Shell,The Lightning,The Moon,,,
The Shattered Shell,The Lightning,The Sun,,,
The Shattered Shell,The Lightning,The Well,,,
The Shattered Shell,The Lightning,The Mountain,,,
The Shattered Shell,The Lightning,Atlas,,,
The Shattered Shell,The Lightning,The Hawk,,,
The Shattered Shell,The Lightning,The Storm,,,
The Shattered Shell,The Lightning,The Vulture,,,
The Shattered Shell,The Lightning,The Eye of Horus,,,
The Shattered Shell,The Lightning,The Goat,,,
The Shattered Shell,The Lightning,The Harpy,,,
The Shattered Shell,The Starling,The Moon,,,
The Shattered Shell,The Starling,The Sun,,,
The Shattered Shell,The Starling,The Well,,,
The Shattered Shell,The Starling,The Mountain,,,
The Shattered Shell,The Starling,Atlas,,,
